Fon,French
Vodungbe wε,C'est dimanche
Fofo ɖaxo,Frère aîné
gùdógúdó din jɛ́n wɛ̀ un wá,c'est tout récemment que je suis venu
A gble wu hwɛɖee,Tu t’es blessé.
E hɔ́n yi sù găn,Il est allé se mettre sous la protection du chef.
E xwe aximε,Il va au marché
mi sɛ bɔ dó miɖéé wú,serrez
Un yi wan nu mi,Je vous aime.
un ɖo maga xɛlu kpɛvi ɖu wɛ,je mange une petite mangue verte
un si kplɔn nu mi a,pourrais
tέ !,quelle !
Mεsi ɔ ɖo azɔxɔmε tɔn huzu ɖo wε,Le maître décore sa classe .
Gbɛmɛ vɛ́ wŭ,La vie est dure.
ayijijɛ yetɔn sɔ ɖo linlin mɛ ă,leur défaite semblait imminente
un wá ɖɔ̀ nù dó wè,je suis venu te dire un petit bonjour
fa akɔ ni lɔgbon,fa dieu qui donne l'intelligence
hwɛ vivɔ,le jugement dernier
é yì agɔsú savà,il est mort
bεtεὲ - dede - gɔɖɔɖɔ̀ - titε,enflé
ɖì blemú,au plus vite
A ze mi mɔ mεslεtɔ na abi ?.,"Tu me prends pour un traître, c'est ça ?"
un ɖo kokokɔji,je suis à cococodji
Un ko ya wu tuun ɔ na ko ɖe hwεn sin alan nuwatɔ elɔ sin alɔ mε.,J'aurai tôt fait de te débarrasser de cette vermine
É ɖò nù fín wɛ̀ ganaganà,Il était en train de voler ostensiblement.
nu un gbɔjε gudo ɔ na yi,j'irai après avoir fait la sieste
Nǔ é nyi étɔn ɔ mɛɖe sixu tafu i ɖu bo yi ɖo asi tɔn ă,Nul ne peut être arbitrairement privé de sa propriété.
Xo alɔ,Frapper des mains
é zé wémá tɔ́n ɖ'áxɔ́nu,il a laissé son livre en gage
Mi ɖo avɔ ɔ nya wε.,Nous blanchissons le linge
e ɖo ga ɖiɖi mɛtlu ko,il a vingt mètres de long
E kàn nùɖé byɔ́ mí dó xó ɔ́ wú,Il m’a questionné sur l’affaire.
Ku zanzan,Bonjour
ɛɛn,d'accord
é flɛ́ sín jĭ bó wá j'àyĭ,il est tombé de là
Un ɖó ă,Je n’en ai pas.
kὲ awè - sɔ́ mɛɖéé xlɛ́ mɛ,être vaniteux
Mawu na kpɔn we,Que Dieu te garde.
Ta tɔngɔɔn,Tête ronde
Mɛdida wĕmà,Carte d'invitation
e yá alɔvinu,il touche à tout
dŏ tagbà nú mε - dŏ yà nú mɛ,ennuyer
Fiɖe a ba sin ɔ Mawu na sɔ ɖo tεn tɔn mε nu we.,"Là où tu l'as trouvé, Dieu le remettra à sa place pour toi. Dieu te le rendra"
Mi gble wu miɖee lε,Nous nous sommes blessés .
e só agù ɔ́ e nɔ mlí,quand on pile la pâte d'igname on fait des boules
E mɔ̀ nùɖé wà ă,Il n'a trouvé rien à faire.
Wezun sìn kan towe nu,C'est à son tour de courir.
A na sixu mɔ gbadamaja klewun ɖe ɖo finɛ ma ɖu a ?,Peux-tu me trouver ici un peu de goûter à manger ?
sɔ lɔ ama ɖu wɛ,le cheval broute l'herbe
Wèmá tówé ɖo lele sa wɛ̀ ɖò zinkpo jí,Ton livre traîne sur le siège.
A tuwun ɖɔ wamɔnɔ wε nyi mi.,Tu sais que nous sommes pauvres 
un ɖo sinsɛn we wɛ,je suis en train de t'adorer
Zunkan xuxu lεɖo wan ɖagbe na jɔhɔn ɔ wε,Les herbes sèches parfument l’air.
a na yi do rɔbu towe kpɔn,tu iras essayer ta robe
E ɖyɔ́,Il est transformé.
Sunsun mɔto ce cobonu mi na yi,Nettoie ma voiture avant qu'on ne parte
Sɔ́ tú tówé nyì akɔbó,Mets ton fusil à l’épaule.
e vɛ́ sè,c'est dur à entendre
a nɔ bló nŭ gidigidì,tu agis brutalement
Mɛ cyáncyán wɛ́ nɔ́ mɔ́,Il y en a peu qui le prennent.
alinmɛ,rein
a ɖò nyladó mɛ̀,tu es en danger
golovi jiji,originaire de glo
agănlingàn - awùngósú - wòkógò,fieffé
é tuwùn nǔ ɖĕbǔ ă,il ne connaît rien
A ko kpé nùɖé xá mì ɖ’áyi wɛ à ?,Est-ce que d’avance tu avais quelque chose contre moi ?
é mɔ wé sɛ́ dó,il t'a aperçu de loin
mì yí azăn,nous sommes en vacances
ayi mitɔn gba dó,vous vous êtes affolés
nù cé blá wù n'í,je lui fais pitié
ɖò àbɔ̆ - n’abɔέ - nɔ̀ abɔ̆,garder le silence
Etɛ wutu kɔ mɔ nɔ hu we vɔvɔ à ?,Pourquoi n’as-tu même pas soif ?
nă sin mì má nù,donne
Un dó hwyɔ ɛ̀,Je m’étonne de ce qu’on dit de lui.
E vivi nu mi ɖee un vɔ mɔ we ɔ.,Content de te revoir
e ɖi,il est enterré
un ta gbavinukpεnnɔ hwenu ɖe 'heros' ɔ ɖo tu ɖe hu mε ɔ ba wε ɔ,j'ai allumé la télévision au moment où le héros cherchait l'arme du crime
Nyɛ lɔ̀ mɔ̆,Moi aussi.
ɖù sù,manquer gravement de respect
mɔto ɖokpo tɔn sin aɖisi mε,une voiture déboucha sur la droite
Kofi wa bɔ mi yi,Kofi est venu et nous sommes partis .
Un zé kɔ nyì gbĕ,J’ai le torticolis.
nù xixa wema,livre
Avɔ élɔ́ jó,Ce pagne a déteint.
un nɔ sɛn we,je t'adore
un sà kɛkɛ́ cé n'í yí caki wŏ,je lui ai vendu mon vélo dix mille francs
dàwé ɔ́ jlɔ́ ginnaà lokótín ɖɔ́hùn,l'homme se tient droit comme un iroko
gbɔhikɔnvi jiji,originaire de bohicon
bo fi nuwlannu,voilà un crayon
Un zé nuɖé yí jó nú fofó cè,Je suis allé remettre quelque chose à mon grand frère.
é jɛ̀ aglungwìn,il a la teigne
Un mɔ ɖɔ e vε wu.,Je trouve ça difficile
Akpa flé hăn,La croûte de la plaie est partie.
E sìxú xò fló go ɖò wŭ wè ă,Il ne peut rien faire contre toi (même pas prendre l’écorce).
Azizɔnnɔ ɔ do xwe tɔn gbe.,Le malade est dans sa maison
Azɔ̀ ɔ́ cɔ dà,Le travail a ralenti.
mi gɔ̀n xwé,vous vous êtes absentés de la maison
mi sɛ́ yi gǔdò,reculez-vous
kú do zanzan,bonjour
wɔxuxu ɖe à,est
Bo awu tɔn lε ɖo nyla kan d'e ji wε,Et ses chemises sont de plus en plus laides.
nu tε ɖo jijε wε,que se passe
Mi ɖo agɔnkε ɖu wε.,Nous mangeons des noix de coco
E lɛ̀ wù nú vì ɔ́,Elle a lavé l'enfant.
Dεkpε tε Đie !,Quelle beauté !
é nɔ́ w'azɔ̀ dó wà heelú tɔ̀n,il travaille sérieusement
e sɔ́ wèmá tɔ́n ɖó gbanu bo yí akwɛ́ dó,il a mis son livre en gage et a reçu de l'argent
un mɔ nu jɛ mɛ kpɛɖe,je comprends un peu
Jì hwénú,La saison des pluies.
tɔ,fleuve
A ɖó acɛ̀ bó ná bló ă,Tu n'as pas le droit de faire cela.
"Eyɛ mɛ vo ɔ, un ɖo akɔnkpikpan ă","Sans lui, je n’ai pas de courage."
nùsúnnú ɔ́ ná fá,la sauce va se refroidir
taglomɛkan,nerf
Aglǔza nɔ lɛ babá,Le cochon se roule dans la boue.
un ɖo wutu klu wɛ,je me gratte
Agbaza nɔ fεɖε,Le corps est frêle
e ɖò èɖéé dán wɛ̀,il se balance
xεvi lε sin han nyɔ nu gbe ɔ mε,le chant des oiseaux enchante la forêt
e nɔ nyi xixɔ à,cela ne s'achète pas
A tuwùn jujɔ cè ă,Tu ignores mes habitudes.
e xɔ ayoma xuxu,il achète des oignons séchés
Nuɖe un nɔ blo ɔ nε.,C'est ce que je fais
Gbe tɛ́gbe a na wá ? - Azàn tántɔn gbè,Quel jour viendras-tu ? - Dans huit jours.
E vivi nu mi ɖee un vɔ mɔ we ɔ,Content de te revoir.
E yi axì bó xɔ̀ avɔ blakasaa ɖé lɛ́ wá sà,Elle est allée au marché acheter des tissus de peu de valeur pour les revendre.
Mɛnúmɛnú wɛ́ nɔ́ jló mɛ̀,A chacun son bout.
azan tεgbe yi a ɖe,quel jour pars
É ɖ’agà,Il est au-dessus.
Dăn wɔ̆,Remuer la pâte sur le feu.
ye ni ma yi o,qu'ils ne s'en aillent pas
Egbe wɛ nyi Hunjlo,"Aujourd'hui, c'est le jour de marché Hunjlo."
yè zɔ́n ɛ̀ gànnú ɖɔ̀ é ní bló,ils le forcèrent à le faire
Azɔ nɔ bɛ ɖo gan tantɔn mɛ,Les cours commencent à huit heures.
gangbá - gbă,caisse
zan ɖo kuku wɛ maman ɖo hɔn ɔ su wɛ,a la nuit tombante maman ferme la porte
é wà nù xá nɔví tɔ̀n,il a fait mal à son frère
Un bu ali gbidigbidi.,Je suis complètement perdu
é flɔ́n lɛ̆gbà,il a fait une offrande au legba
fyɔ́n avɔ̀ - fyɔ́nsìn sín nuɖé mὲ,tordre du linge
din ɔ́ un xwè yɛhwe xa gbé - bo xa ɖè nú mì,je m'en vais prier maintenant - eh bien prie un peu pour moi
yĕ jè dó ya mɛ̀,ils sont durs
E ɖo nukun fɛsinnɔ,Il a les yeux bleus.
E jɛ gban,II est goitreux
Flé fló sín gbò ɔ̀ wú,Enlève la peau de l'orange.
hwɛ́ ɔ́ a mɔ̀ dosu é fɔ́n sín kú ɔ́ ɖó nukún wú à,et toi tu n'as pas vu dossu vivant de tes yeux
"Ato wiwi ɔ wa ɖɔ atinsinsɛn ɖaxo ɖe wa xo e ɖo wezun tɔn mɛ gbɔn xo susu xɛvi lɛ tɔn mɛ ɔ, sin xo",Le singe blanc parla d'un gros fruit sauvage qu'il avait bousculé dans sa fuite devant les cris répétés de certains oiseaux affolés.
e ná gbe mi ɖɔ̀ má bló,il m'a permis de le faire
un xwè nù ɖù gbé,je m'en vais manger
É hú taga ɛ̀,Il est plus grand que lui.
Ze alɔvi yi ji,Levez le doigt
Mi na yi ɖu we,Nous irons danser.
e w'àzɔ̆ tɔ̀n wluwlù,il a fait son travail n'importe comment
Bɔ fitε koklosi ɖevo e nε ɔ gosin ?,Et d'où est venu cette autre poule ? 
Gbɛmɛ cí kpitiì,Le temps est couvert.
a yĭ gàn égbé à,as-tu réglé ta montre aujourd'hui
un xlɛ́ ɛ̀ xwé cè,je lui ai fait voir ma maison
nú ali yì gbɛgbónú ɔ́ un na yí mɔ̀ sɛ́,si
bɔ̀ è blí awinyá ɔ́ sín ì,on ôta donc la pierre
mi ja,vous arrivez
nukpɛn lɛ ɔ glasi ɖee mɔ nɔ yɔ a lɛ wɛ,les miroirs sont des glaces qui ne fondent pas
Cavi kpo,La clef est rouillée
Wú tɔ́n syɛ́n,Il est fort.
ɖo azɔn nu mɛ,provoquer la maladie chez quelqu'un
E ɖɔ,"""Hwi wɛ nyi ku nɔ"""
Tógbé cé jɛ wŏ,Mes boucles d’oreilles sont devenues blanches.
xɛ́ nŭ,tomber en défaillance
kpì tàn,renseigner avec exactitude sur les faits vécus
e tíntín éɖéé dó gŭdò,il s'est reculé
acɔnkwín,ce n'est pas volé
Gbɔ lɛ we bo wi,Les moutons sont blancs et noirs.
hùn élɔ́ nɔ́ ɖi gbè ganjí,ce tambour résonne bien
É hɛ́n ɖó wɛcɛɛ̀ b’ɛ́ j’àyĭ,Il n’a pas tenu fermement et c’est tombé.
klo à,est
Sin nɔ din gbɔ̀n anà ɔ́ hlolò,L’eau passe sous le pont à gros bouillon.
E yi gbe n'i kpodo xomεhunhun kpo,Tu lui réponds avec gentillesse
Winya ɖona hu mi.,Vous devriez avoir honte de vous
Nakí jɛ̀ aglăjà nɔ́ nyɔ́ zo dó ă,Le bois non débité (avec ses branches) ne se met pas au feu.
E gble gba,Il est totalement perverti
fitɛ e nɔ gbɔn yi,où passe
piɛ ɖì xɛsi ɖò kú núkɔ́n à,pierre s'est-il désolé devant la mort
Ayunmlimlixotɔ lε ɖo ayunmlimli nyi ɖo yeɖee wε.,Les joueurs se lancent la balle 
mì ná gbò xɔ ɔ ɖó wè,nous allons séparer la chambre en deux
É hán,Il a fait défaut (pour un nouveau-né).
Gbɔlan nɔ nyɔ hu lengbɔ lan.,La viande de mouton est meilleure que la viande de chèvre
ye ɖee nyi azɔwatɔ lɛ ɖayi,ceux qui étaient ouvriers
E ɖo gbatɛ sɔ wɛ,II fait le portefaix
Klɔ nufεnu ɔ,Lave la brosse
Bese gɔ xo bo do vlaya. - Nu ɖe gɔ xo bo dan acɔ ă.,La grenouille rassasiée a pris un jupon. - Nul n'omet de se parer s'il est rassasié.
Bo un nɔ vun ɖa ce,Et je peigne mes cheveux.
sɔ́ wemá tówé lɛ́ hɛn yì,remmène tes livres
"Amɔ nu mi ma ɖo awu zozo, hun e ɖona nyi xixɔ.","Mais si vous n'avez pas de vêtements chauds, il faudra en acheter"
gbă xɔ̀,bâtir une case
E nɔ́ ɖè gbe dó yɛ nyanya lɛ́,Il commande aux esprits mauvais.
wlŏ - wòló,être chiffonné
ò,interjection qui marque la surprise
E ku fyan mi,"Sa mort subite m'a surpris "" il mourir surprendre moi """
Un ɖo akwε a,Je n'ai pas d'argent
lεnkpɔn ɖaxo d'e ɖo tagba do n'i wε,elle a un gros rhume
Mɛ ká ɖú ɖ’é jí ?,Quel est le vainqueur ?
un ɖó xlɛ́ tɔ̀n ă,je n'en ai pas la preuve
E ta akiti nu ma nɔ te,Elle a insisté pour que je reste
Gla se a !,"Sois courageux, n'est-ce pas !"
aɖo ɖagbe à,vas
É xo gò tɔ́ cè,Il a rencontré mon père.
Etɛ mi na nu ?,Qu’allons-nous boire ?
A na xɔ azin,Tu achèteras des oeufs.
ayikúngban ɔ́ jɛ wɛ̀n,le sol est plat
Ma ɖi xεsi o,Sois sans crainte
Afɔgodwe tɔn lε kwiji,Ses chaussettes sont sales.
Xo gɔ mi,Je n'ai plus faim
bo wá yi xwé,va donc à la maison
A na nɔ mi gɔn kpɛɖe a ?,Resteras-tu quelque temps chez nous ?
un mɔ sun ce sun elɔ mɛ,j'ai eu mes règles ce mois
Azɔ̀n húzú,Il est à l’agonie.
fí tɛ́ a mɔ ɛ ɖè,où l'as
Kanlin lε sin gan ɔ lin tamε bo ɖɔ.,Le grand génie réfléchit et dit 
fitɛnu wɛ nu we,d'où es
a ɖò ná bló nùɖé bó nà dó gló ajotɔ́ lɛ́,tu dois faire quelque chose pour te protéger des voleurs
un nylɔ ye do sin ɖe hun agban ɔ mε,je les avais plongées dans l'eau bouillante
E si yi toxo ɔ mε a.,On ne peut pas aller au centre-ville
Nùɖé sɔ́ nu ì,Un serpent l’a piqué.
A sè à é ?,N’as-tu pas compris ?
towe wɛ̀,c'est à toi
Ye ɖu do mε ji,Ils ont gagné
Un nɔ ɖi xεsi kpεɖe n'ε.,J'ai un peu peur de lui
vi ɖe,un certain enfant
Nŭ bì nɔ́ nyɔ́ nukún tɔ́n mɛ̀,Il est optimiste.
a gúdú simá dó kɔ́ wú ganjí ă,tu n'as pas bien mélangé le sable et le ciment
ɖè axi nú nŭ,débattre le prix d'une chose
Gbe tɔn xlá,Il est enroué.
Mi ɖo nukun do wε,On sème des graines
cocorico' !,Il chante  
Wa nu ɖagbe,Faire une bonne action.
E zlɔ́n jɛ̀ agĕ,Il a atterri en sautant.
kan,muscle
É nɔ́ jɛ kú dó gbɛtɔ́ hwɛ́ndó lɛ́ jí,Il insiste sur les coutumes humaines.
a tín ɖó ná ɖɔ̀ mɔ̆ ă,tu ne dois pas dire cela
E tɔ́ wù dó mì,Il s’est caché de moi.
azan tεgbe wε yi egbe,c'est quel jour aujourd'hui
"De e yi xo gudo, e jujɔn ayi.","Après avoir pris la parole, il se rassit : "
é sù yĕ bì nukún mɛ̀,il avait de l'importance aux yeux de tous
E nɔ́ gbà vă,Il est prétentieux.
Dan nɔ xásá é ɖéé,Le serpent s'enroule.
un na kun kɛkɛ ce,je conduis ma bicyclette
A na dó kú n’í ɖó agɔndé e é ná mí ɔ́ wú,Tu le remercieras pour son ananas.
e gbɔ̀n tó nú mĭ,il est notre dernier
E jɛ ɖɔ mi ni sɛn Mawu,Il convient que nous adorions Dieu.
ɖì wŭ - dlɔ̆n - dŏ wezìn - fyá - yă wŭ,se hâter
bú i dó wèmá mɛ̀,enveloppe
kú winnyá,être intimidé
mi ba dotoo ɔ nu mi,cherchez
Vεεn sɔ ɖe ă,Il n'y a plus de vin
e yi lanmɛ nú mì,je suis ému
vi ny'avɔ ɖe,l'enfant est comme un pagne dont on peut se couvrir
Gan élɔ́ nɔ́ kú awì gbeɖé ă,Ce métal ne se ternit jamais.
Gbɛtɔ bĭ ɖo acɛ bo na yì kplé. Lobo na lɛ do gbɛ̌ é ma na dɔn hunnyahunnya wa ă e,Toute personne a droit à la liberté de réunion et d'association pacifiques.
E dó aɖì xòmɛ̀ nú mì,Il m’a fait de la peine.
nukplɔnkplɔn hwenu ɔ michel nɔ dan mlamla a,pendant la classe michel n'est pas distrait
Avivɔsun ɖo azan gban nukun ɖokpo.,Août a 31 jours
nu gannyii wɛ,c'est un scandale
Ma ɖa nuɖuɖu lɛ ɔ,Ne cuis pas les aliments.
na mi sin fifa,donne-moi de l'eau fraîche
sinzέn - zɛ̆n - zɛ̆n ɖaxó,jarre
Un yi wan nu alɔ dɔn gbɔn wu nu cuku ce,J'adore caresser mon chien.
é zɔ̀n kuu bo wá gɔ̆n cè,il est venu me graisser la patte
mi nù,vous avez bu de
Nă k’ɛ̀n,Remonte-la.
bo nu a ɖo dindin wɛ ɔ,et si tu passes devant elles
E ɖò sláslá wɛ̀,Il a la diarrhée.
Co bɔ un ka mɔ dɔ atin ɔ nu dagbe ɖe wɛ,"Pourtant, je trouve que le bois est une très jolie matière."
"E nɔ e ɖokpo nɔ bo nu ci kɔ ni e ɔ, Tere ze gbeta bo na yi ba xɔntɔn gbe ɖɔkpo.","Las de vivre seul, Téré décida un jour d'aller chercher une compagne"
A nɔ nu kafε zanzan à ?.,Tu prends du café au petit déjeuner ?
Cuku ɔ wa agun ɔ tεntin kpodo xomεsinsin kpo.,Le chien est venu au milieu de la foule en colère 
Sunnu ɖu wɔ tε asi tɔn. E ɖɔ,"Un homme a mangé de la pâte sans en laisser à son épouse. 'On verra bien à l'heure du coucher', lui dit-elle : "
Mi kwabo,Soyez le bienvenu
láéláé - lálá,tout à fait différent
nu a ɖo ɔ,quand tu la portes
ayihúndá,jeu
Lĕe gbɔn un blo mɔ ɖie,Voici pourquoi j'ai agi de la sorte
E blo ɖo gan tɔn ji,II a fait comme il convenait de faire
e hlɛ́n nŭ nú asɛ́ɛ́n,il a offert quelque chose aux aséin
dŏ - dŏ jinukún - dŏ nùkún,semer
Nu a ɔ ba na se xo ce ɔ,Si seulement tu voulais bien m'écouter !
"Égbé tɔ́n kó wá yí nɛ́, é kpo sɔ tɔ̀n","Les soucis d’aujourd’hui sont passés, il reste ceux de demain."
koklosu dɛn kpajɛ,petite plante dont la fleur ressemble à la crête d'un coq
nú dè ɔ̀ myá ɔ́ e nɔ sìn,si le régime de palme est mûr on le coupe
e gblɔ́n adăn ɖɔ̀ émí ná xó mì,il a menacé de me frapper
Wu y'ɛ ɖesu,Il est très actif
mɛsi wemaxɔmɛ ayijɛ tɔn mɛ,est maître du cours élémentaire
o,interjection marquant l'encouragement
yi bo wa,va et reviens
eo  wa ă,non  n'est pas venu
"Fa nɔ ɖo agun mε, nu bokɔnɔ nɔ wa yε ă.","Quand le Fa est au milieu de l'assemblée, le devin ne biaise pas : "
gbɔ̀n nukɔ̀n,passer devant
A flán ɖɛ̆,Tu t'es trompé en parlant.
nùɖúɖú nɔ́ myá nukún nú wè,tu ne te préoccupes que de manger
akpò - bùbú - wèmákpò,enveloppe
Kofi klo sɔ Sagbo,Kofi est aussi gros que Sagbo.
alɔnuzɔwatɔ wε nyi tɔ towé,ton père est un ouvrier
gan nabi mε wε e nɔ na nu nunu azinzɔnnɔ ɔ,a quelle heure donne
wezízá ní tíin bɔ̀ wèzízá tíìn,que la lumière soit et la lumière fut
e zé ɔ́ gbà,il a renversé l'huile
Axi ɖaxo ɖe wɛ e nyi ɖo Kutɔnu,C’est le grand marché de Cotonou
"Piɛ tuùn nù é ɖò nà x’ɛ́ wɛ́ ɔ́ bó yì nukɔn yĕtɔ̀n, bó kán byɔ́ yĕ ɖɔ jí","Pierre, sachant tout ce qui allait lui arriver, s’avança et leur demanda."
Kofi yi Agbomε ɖo tɔ tɔn ku.,C'est parce que son père est mort que Kofi est parti à Abomey 
Un yi wan nu gbɔjɛ yiyi din,J'aime beaucoup aller en vacances.
Wamamɔnɔ xɔ avɔ. - Ani o ?,Un pauvre a acheté du tissu. - Comment !
Kɔ́lyásó má sɔ̀ gà só,La termitière n’est pas si haute que la montagne.
é sa kɛkέ tɔn axɔ́,il m'a vendu son vélo à crédit
ta vodún,sorte de jarre
Jean kpodo Jaki kpo ɖo kwin xo wε.,Jean et Jacques jouent aux billes 
alɔví gbεɖigà - alɔvígbεɖigà,majeur
Un fɔ́n,Je me suis réveillé.
Amiwɔ́ wɛ a ɖu à ?,Est-ce que tu as mangé de la pâte rouge ?
Wulεkpa lε ɖo gbεnde ɔ mε.,Les toilettes sont dans le hall 
Atingbomε enε ɔ hwlεn do ji sin.,Ce buisson l'a protégée de la pluie 
e ɖi ga nu mɛtlu ko,il est long de vingt mètres
Un sɔ gba wè,Je t’ai eu.
Azɔn gbɛ́ sìn,Il va mourir.
sin ɖiɖi - sin nunu - sinnunu,eau potable
Un ɖo alɔ gɔ tɔn by'ε wε,Je lui demande son aide.
e gbà éɖéé dó,il se fit connaître
a nɔ nu azɔ,tu fumes
yɛhwexó ná yí ta,la construction de l'église sera menée à bonne fin
E ɖo ɖagbe a ?,Est-ce qu'il se porte bien ?
e nylá bĭ ă,ce n'est pas mal
É cɛ́ kpé nɔví tɔ̀n,Il a jeté un sort à son frère.
e ɖè avɔ tɔn xyá,il a enlevé son pagne et l'a mis à sécher
azɔ,travail
Ye jε so ɔ sin aga bi.,Ils arrivent au sommet de la colline 
wignan xó wè,c'est une affaire honteuse
un ɖu ì,je l'ai mangé
Hwevi ko do nubyaxa ɖo sabɔ.,Un poisson a dit ce bon mot au fond du fleuve : C'est à l'ombre que l'on tombe.
Bɔ fitɛ wɛ koklosi mitɔn wiwi ɔ gosin,Oui ! Mais d'où vient notre poule noire ?
Nu gannyii wɛ,C'est un scandale.
awu ɔ fɛ́ɖɛ́,la chemise est fine
"Nyi ɖesú wɛ́ yí dó wɛn n’í, có é tilɛ wá ă","Je suis allé moi-même faire la commission, et il n’est même pas arrivé."
tó ce ja sìn,du pus a coulé de mon oreille
é wà nŭ vlɛ́kɛ́sɛ́,il a fait une chose de peu d'importance
É nyɔ́ nukún ce mɛ̀,C’est à mon goût.
E yi wan nu we ă,Il ne t’aime pas
e blo kɛkɛ ɔ ɖo tlolo ɔ un na yi,aussitôt le vélo réparé j'irai
un tò wèmá cé lɛ́,j'ai rangé mes papiers
E gbádá kwɛ́ dó găn tɔ̀n,Il a détourné de l’argent de son patron.
Nyɔ̀nù élɔ́ ajɔ̀ nɔ́ hun zo dó è,Cette femme a la passion du commerce.
é vɛ́ nú mí susu,je regrette beaucoup
gàn - ganxuxo,heure
gajaà - gajagajà - gbεmὲ - gègé - vantankánnyá,énormément
dekwin gbigba nɔ na ami,les graines de palme écrasées donnent de l'huile
hwè dŏ wŭ - kú nε̆,être impuissant
Vi ɖokponɔ lε nɔ nyi vi gblegble.,Les fils uniques sont souvent gâtés
Cɔ́ hwiɖéé ɖò yè tɛ́ntín,Prends garde à toi avec eux.
E wá ma ɖ'ázăn,Il est venu à l'improviste.
alin,foie
"Nu xovε sin ye ɔ, xεvi lε nɔ ɖu dovɔn.","Quand ils ont faim, les oiseaux mangent des vers"
hwetεnu a na wa ɖo hu do tɔn,quand en auras
azinzɔnnɔ ɔ na mɔ nuɖuɖu zanzan elɔ,le malade aura à manger ce matin
nɛ̆ a ka lin gbɔ̀n,qu'est
E gbɔn vo nu mi,II est différent de moi
Mawu wε blo koklosi nukɔntɔn ɔ.,Dieu a créé la première poule !
Un yi wan nu kuskus.,J'aime le couscous 
"E zɔ̀n nùɖé wé ɔ́, a tín dó ná bló dandàn","Si on te commande quelque chose, il faut absolument le faire."
nɔ̀ví cé ná wá gódógódó,mon frère viendra sans faute
e gbɛ́ nu kɛ,il refuse de parler
ɖŏ... jĭ,installer sur
gbìgbá - jlɔ̆,aplanir
Sɔ lɔ ama ɖu wε.,Le cheval broute l'herbe
étɛkanyinɖémɛ,est-ce mon affaire
"Nu e nu azɔ ɖo azɔmε ɔ, e na dɔn to n'i","S'il fumait à l'école, il serait puni ."
Hwe wemaxixa towe nu ye,Prête-leur ton livre.
adĭngbè,attaque d'épilepsie
É nyɔ́ ɖɛkpɛ̀,C’est beau.
un ná tò nù cé lɛ́ dó gbă mɛ̀,je vais mettre mes affaires dans la valise
Tó tɔ́n sú hɔ̀n,Il a les oreilles bouchées.
etɛ wɛ zɔn bɔ,pourquoi pour quelle raison
sɔ̀ zănzăn un na wá xwé tówé gbè,demain matin je viendrai chez toi
bó ná dó mɔ̀ nyɔná ɔ́ nɔ ba ná tò gbɛ towe sɔ́ nyì xó mawu tɔn jí,pour être heureux cherche à bâtir ta vie sur la parole de dieu
un ɖu gbɛ̀ fɛɛ̀,j'ai été vraiment heureux
nùnìná - xwíxwlé - xwléxwlé,offrande
Ye ɖo nu xa wɛ bɔ mi ɖo xo ɖɔ wɛ,"Eux, ils lisent et nous, nous parlons."
din ɔ mi wlan nu,maintenant prenez des notes
Eyε wε na ji han ɖo xwe gbe ɔ.,C'est lui qui chantera à la fête 
dŏ jŏ,être gras (pour une viande)
Mi ɖo xɔntɔn gbe do nu miɖee wε.,Nous échangeons des saluts amicaux
mi gɔ alɔ nu mi,aidez-moi
É sà axi vivέ tɔ̀n,Il a vendu cher.
E nɔ yi wan nu gbɛtɔ ganjii,II aime bien les gens
e fɔ̀ nakí,il a ramassé du bois
zìnzɔ́n - zùnzɔ́n,action d'avoir de nouvelle feuilles
É bú dò,Il est incompréhensible.
É ɖ’así cè ă,Ce n’est pas en mon pouvoir.
gbɛtɔ́ xololò,homme ordinaire
yĕ sò hă bó ɖɔ̀ sa ɖi wɛ̀,ils ont formé un groupe de copains et se promènent
Xwe nabi a ɖo?,Quel âge as tu?
